Pair,Accuracy
0vs1,99.86577181208054
0vs2,98.9479000084168
0vs3,99.41927990708479
0vs4,99.61750956226095
0vs5,98.2105077574048
0vs6,99.18081243138248
0vs7,99.60617000328192
0vs8,99.27807032444369
0vs9,99.46933962264151
1vs2,99.07874015748031
1vs3,99.07558455682435
1vs4,99.6185632549269
1vs5,99.48203568198635
1vs6,99.739336492891
1vs7,99.49258091796725
1vs8,98.20535217978242
1vs9,99.55086281616894
2vs3,97.30333360906609
2vs4,98.59322033898306
2vs5,97.82933473943228
2vs6,98.23172785449647
2vs7,98.75644277182361
2vs8,97.01075450927259
2vs9,98.79902578315277
3vs4,99.45711183496199
3vs5,95.15235457063712
3vs6,99.47713503195286
3vs7,98.69312681510165
3vs8,96.52812552161576
3vs9,98.39403973509934
4vs5,98.87241409926307
4vs6,99.1156462585034
4vs7,98.86016354175271
4vs8,99.19610023090738
4vs9,96.66694936816216
5vs6,97.4777317223741
5vs7,99.31542016087627
5vs8,92.1220723917672
5vs9,98.39929639401936
6vs7,99.85225313962079
6vs8,98.92939077236808
6vs9,99.78933176034381
7vs8,99.00957411687025
7vs9,95.5542819715081
8vs9,98.04237288135593
