Pair,Success Mean,Failure Mean,Success Mode,Failure Mode
0vs1_,19.62,17.875,24.0,18.0
0vs2_,4.65,7.255102040816326,3.0,6.0
0vs3_,6.3,9.3,6.0,9.0
0vs4_,9.24,11.129032258064516,6.0,9.0
0vs5_,3.36,6.36,3.0,6.0
0vs6_,5.16,7.96969696969697,3.0,6.0
0vs7_,11.67,13.3,9.0,12.0
0vs8_,12.12,13.5,9.0,12.0
0vs9_,15.57,15.452054794520548,24.0,15.0
1vs2_,13.29,14.546511627906977,9.0,12.0
1vs3_,13.77,15.104651162790697,9.0,12.0
1vs4_,16.86,16.181818181818183,24.0,18.0
1vs5_,14.22,15.073170731707316,9.0,12.0
1vs6_,17.16,17.228571428571428,24.0,18.0
1vs7_,15.21,15.43421052631579,24.0,12.0
1vs8_,10.74,12.58695652173913,6.0,9.0
1vs9_,18.27,16.94736842105263,24.0,15.0
2vs3_,9.3,12.151515151515152,9.0,12.0
2vs4_,12.96,14.454545454545455,9.0,12.0
2vs5_,11.34,13.673684210526316,9.0,12.0
2vs6_,12.15,14.526315789473685,9.0,12.0
2vs7_,16.56,16.80821917808219,24.0,15.0
2vs8_,10.23,12.65625,9.0,12.0
2vs9_,13.71,15.172413793103448,12.0,15.0
3vs4_,17.13,17.716216216216218,24.0,21.0
3vs5_,6.63,9.63,6.0,9.0
3vs6_,15.48,15.935064935064934,24.0,15.0
3vs7_,14.7,15.375,9.0,12.0
3vs8_,8.22,10.89795918367347,6.0,9.0
3vs9_,12.78,14.533333333333333,9.0,12.0
4vs5_,12.63,15.031578947368422,9.0,12.0
4vs6_,13.65,14.965116279069768,12.0,15.0
4vs7_,11.1,13.5625,9.0,12.0
4vs8_,13.26,15.197802197802197,12.0,15.0
4vs9_,6.6,9.6,6.0,9.0
5vs6_,11.52,13.580645161290322,9.0,12.0
5vs7_,15.99,16.860759493670887,15.0,18.0
5vs8_,6.06,9.06,6.0,9.0
5vs9_,10.41,12.989690721649485,9.0,12.0
6vs7_,17.1,17.675675675675677,24.0,18.0
6vs8_,15.81,17.01219512195122,12.0,15.0
6vs9_,16.14,17.050632911392405,24.0,18.0
7vs8_,13.59,15.303370786516854,9.0,12.0
7vs9_,6.36,9.36,6.0,9.0
8vs9_,11.76,14.25,12.0,15.0
